name,description,url,research_area,research_url,research_description,committee_member,score,committee_title
Judith Pintar,Teaching Associate Professor,https://ischool.illinois.edu/people/judith-pintar,Community Informatics,https://ischool.illinois.edu/research/areas/community-informatics,"Understanding how local communities and people in their everyday lives use and might use information technology, in libraries and elsewhere
",Judith Pintar,100.0,Capricious Grading & Student Conduct       
Judith Pintar,Teaching Associate Professor,https://ischool.illinois.edu/people/judith-pintar,Cultural Informatics and Heritage,https://ischool.illinois.edu/research/areas/cultural-informatics-and-heritage,"Understanding the role of information technology in preserving, transmitting, and shaping human culture and heritage
",Judith Pintar,100.0,Capricious Grading & Student Conduct       
Judith Pintar,Teaching Associate Professor,https://ischool.illinois.edu/people/judith-pintar,Digital Humanities,https://ischool.illinois.edu/research/areas/digital-humanities,"Applying computing or using digital media in the humanities disciplines
",Judith Pintar,100.0,Capricious Grading & Student Conduct       
Judith Pintar,Teaching Associate Professor,https://ischool.illinois.edu/people/judith-pintar,Diversity and Social Justice,https://ischool.illinois.edu/research/areas/diversity-and-social-justice,"Addressing challenging, but necessary, topics such as racism, privilege, power, etc., and coupling them with critical theory in an effort to develop compassionate, proactive, and culturally competent information professionals
",Judith Pintar,100.0,Capricious Grading & Student Conduct       
Kathryn La Barre,Associate Professor,https://ischool.illinois.edu/people/kathryn-la-barre,Archives and Preservation,https://ischool.illinois.edu/research/areas/archives-and-preservation,"Protecting and maintaining collections and materials in archives
",Kathryn La Barre,100.0,Faculty Grievance 
Kathryn La Barre,Associate Professor,https://ischool.illinois.edu/people/kathryn-la-barre,Archives and Preservation,https://ischool.illinois.edu/research/areas/archives-and-preservation,"Protecting and maintaining collections and materials in archives
",Kathryn La Barre,100.0,Information Sciences Library Liaison:
Kathryn La Barre,Associate Professor,https://ischool.illinois.edu/people/kathryn-la-barre,Community Informatics,https://ischool.illinois.edu/research/areas/community-informatics,"Understanding how local communities and people in their everyday lives use and might use information technology, in libraries and elsewhere
",Kathryn La Barre,100.0,Faculty Grievance 
Kathryn La Barre,Associate Professor,https://ischool.illinois.edu/people/kathryn-la-barre,Community Informatics,https://ischool.illinois.edu/research/areas/community-informatics,"Understanding how local communities and people in their everyday lives use and might use information technology, in libraries and elsewhere
",Kathryn La Barre,100.0,Information Sciences Library Liaison:
Kathryn La Barre,Associate Professor,https://ischool.illinois.edu/people/kathryn-la-barre,Cultural Informatics and Heritage,https://ischool.illinois.edu/research/areas/cultural-informatics-and-heritage,"Understanding the role of information technology in preserving, transmitting, and shaping human culture and heritage
",Kathryn La Barre,100.0,Faculty Grievance 
Kathryn La Barre,Associate Professor,https://ischool.illinois.edu/people/kathryn-la-barre,Cultural Informatics and Heritage,https://ischool.illinois.edu/research/areas/cultural-informatics-and-heritage,"Understanding the role of information technology in preserving, transmitting, and shaping human culture and heritage
",Kathryn La Barre,100.0,Information Sciences Library Liaison:
Kathryn La Barre,Associate Professor,https://ischool.illinois.edu/people/kathryn-la-barre,Diversity and Social Justice,https://ischool.illinois.edu/research/areas/diversity-and-social-justice,"Addressing challenging, but necessary, topics such as racism, privilege, power, etc., and coupling them with critical theory in an effort to develop compassionate, proactive, and culturally competent information professionals
",Kathryn La Barre,100.0,Faculty Grievance 
Kathryn La Barre,Associate Professor,https://ischool.illinois.edu/people/kathryn-la-barre,Diversity and Social Justice,https://ischool.illinois.edu/research/areas/diversity-and-social-justice,"Addressing challenging, but necessary, topics such as racism, privilege, power, etc., and coupling them with critical theory in an effort to develop compassionate, proactive, and culturally competent information professionals
",Kathryn La Barre,100.0,Information Sciences Library Liaison:
Kathryn La Barre,Associate Professor,https://ischool.illinois.edu/people/kathryn-la-barre,Education of Information Professionals,https://ischool.illinois.edu/research/areas/education-information-professionals,"Evaluating the content of curricula and the methods for educating information professionals
",Kathryn La Barre,100.0,Faculty Grievance 
Kathryn La Barre,Associate Professor,https://ischool.illinois.edu/people/kathryn-la-barre,Education of Information Professionals,https://ischool.illinois.edu/research/areas/education-information-professionals,"Evaluating the content of curricula and the methods for educating information professionals
",Kathryn La Barre,100.0,Information Sciences Library Liaison:
Kathryn La Barre,Associate Professor,https://ischool.illinois.edu/people/kathryn-la-barre,Foundations of Information,https://ischool.illinois.edu/research/areas/foundations-information,"Asking and answering the most basic and fundamental questions on the nature and uses of information resources
",Kathryn La Barre,100.0,Faculty Grievance 
Kathryn La Barre,Associate Professor,https://ischool.illinois.edu/people/kathryn-la-barre,Foundations of Information,https://ischool.illinois.edu/research/areas/foundations-information,"Asking and answering the most basic and fundamental questions on the nature and uses of information resources
",Kathryn La Barre,100.0,Information Sciences Library Liaison:
Lori Kendall,Associate Professor,https://ischool.illinois.edu/people/lori-kendall,Archives and Preservation,https://ischool.illinois.edu/research/areas/archives-and-preservation,"Protecting and maintaining collections and materials in archives
",Lori Kendall,100.0,MSLIS & CAS   
Lori Kendall,Associate Professor,https://ischool.illinois.edu/people/lori-kendall,Archives and Preservation,https://ischool.illinois.edu/research/areas/archives-and-preservation,"Protecting and maintaining collections and materials in archives
",Lori Kendall,100.0,Faculty Grievance 
Lori Kendall,Associate Professor,https://ischool.illinois.edu/people/lori-kendall,Community Informatics,https://ischool.illinois.edu/research/areas/community-informatics,"Understanding how local communities and people in their everyday lives use and might use information technology, in libraries and elsewhere
",Lori Kendall,100.0,MSLIS & CAS   
Lori Kendall,Associate Professor,https://ischool.illinois.edu/people/lori-kendall,Community Informatics,https://ischool.illinois.edu/research/areas/community-informatics,"Understanding how local communities and people in their everyday lives use and might use information technology, in libraries and elsewhere
",Lori Kendall,100.0,Faculty Grievance 
Lori Kendall,Associate Professor,https://ischool.illinois.edu/people/lori-kendall,Cultural Informatics and Heritage,https://ischool.illinois.edu/research/areas/cultural-informatics-and-heritage,"Understanding the role of information technology in preserving, transmitting, and shaping human culture and heritage
",Lori Kendall,100.0,MSLIS & CAS   
Lori Kendall,Associate Professor,https://ischool.illinois.edu/people/lori-kendall,Cultural Informatics and Heritage,https://ischool.illinois.edu/research/areas/cultural-informatics-and-heritage,"Understanding the role of information technology in preserving, transmitting, and shaping human culture and heritage
",Lori Kendall,100.0,Faculty Grievance 
Lori Kendall,Associate Professor,https://ischool.illinois.edu/people/lori-kendall,Diversity and Social Justice,https://ischool.illinois.edu/research/areas/diversity-and-social-justice,"Addressing challenging, but necessary, topics such as racism, privilege, power, etc., and coupling them with critical theory in an effort to develop compassionate, proactive, and culturally competent information professionals
",Lori Kendall,100.0,MSLIS & CAS   
Lori Kendall,Associate Professor,https://ischool.illinois.edu/people/lori-kendall,Diversity and Social Justice,https://ischool.illinois.edu/research/areas/diversity-and-social-justice,"Addressing challenging, but necessary, topics such as racism, privilege, power, etc., and coupling them with critical theory in an effort to develop compassionate, proactive, and culturally competent information professionals
",Lori Kendall,100.0,Faculty Grievance 
Ryan Cordell,Associate Professor,https://ischool.illinois.edu/people/ryan-cordell,Archives and Preservation,https://ischool.illinois.edu/research/areas/archives-and-preservation,"Protecting and maintaining collections and materials in archives
",Ryan Cordell,100.0,Research Advisory      
Ryan Cordell,Associate Professor,https://ischool.illinois.edu/people/ryan-cordell,Artificial Intelligence and Machine Learning,https://ischool.illinois.edu/research/areas/artificial-intelligence-and-machine-learning,"Researching the models, methods, uses, and impact of intelligent systems design for processing data and information
",Ryan Cordell,100.0,Research Advisory      
Ryan Cordell,Associate Professor,https://ischool.illinois.edu/people/ryan-cordell,Cultural Informatics and Heritage,https://ischool.illinois.edu/research/areas/cultural-informatics-and-heritage,"Understanding the role of information technology in preserving, transmitting, and shaping human culture and heritage
",Ryan Cordell,100.0,Research Advisory      
Ryan Cordell,Associate Professor,https://ischool.illinois.edu/people/ryan-cordell,Digital Humanities,https://ischool.illinois.edu/research/areas/digital-humanities,"Applying computing or using digital media in the humanities disciplines
",Ryan Cordell,100.0,Research Advisory      
Ryan Cordell,Associate Professor,https://ischool.illinois.edu/people/ryan-cordell,Digital Libraries,https://ischool.illinois.edu/research/areas/digital-libraries,"Studying how to most effectively store, structure, retrieve, interpret and preserve collections of digital objects to serve a particular community or communities
",Ryan Cordell,100.0,Research Advisory      
Travis L. Wagner,Assistant Professor,https://ischool.illinois.edu/people/travis-l-wagner,Archives and Preservation,https://ischool.illinois.edu/research/areas/archives-and-preservation,"Protecting and maintaining collections and materials in archives
",Travis Wagner,100.0,MSLIS & CAS   
Travis L. Wagner,Assistant Professor,https://ischool.illinois.edu/people/travis-l-wagner,Community Informatics,https://ischool.illinois.edu/research/areas/community-informatics,"Understanding how local communities and people in their everyday lives use and might use information technology, in libraries and elsewhere
",Travis Wagner,100.0,MSLIS & CAS   
Travis L. Wagner,Assistant Professor,https://ischool.illinois.edu/people/travis-l-wagner,Cultural Informatics and Heritage,https://ischool.illinois.edu/research/areas/cultural-informatics-and-heritage,"Understanding the role of information technology in preserving, transmitting, and shaping human culture and heritage
",Travis Wagner,100.0,MSLIS & CAS   
Travis L. Wagner,Assistant Professor,https://ischool.illinois.edu/people/travis-l-wagner,Diversity and Social Justice,https://ischool.illinois.edu/research/areas/diversity-and-social-justice,"Addressing challenging, but necessary, topics such as racism, privilege, power, etc., and coupling them with critical theory in an effort to develop compassionate, proactive, and culturally competent information professionals
",Travis Wagner,100.0,MSLIS & CAS   
Travis L. Wagner,Assistant Professor,https://ischool.illinois.edu/people/travis-l-wagner,Organization of Knowledge and Information,https://ischool.illinois.edu/research/areas/organization-knowledge-and-information,"Bringing structure to the record of human culture and our accounts of the natural and social world
",Travis Wagner,100.0,MSLIS & CAS   
Zoe LeBlanc,Assistant Professor,https://ischool.illinois.edu/people/zoe-leblanc,Archives and Preservation,https://ischool.illinois.edu/research/areas/archives-and-preservation,"Protecting and maintaining collections and materials in archives
",Zoe LeBlanc,100.0,AI 
Zoe LeBlanc,Assistant Professor,https://ischool.illinois.edu/people/zoe-leblanc,Artificial Intelligence and Machine Learning,https://ischool.illinois.edu/research/areas/artificial-intelligence-and-machine-learning,"Researching the models, methods, uses, and impact of intelligent systems design for processing data and information
",Zoe LeBlanc,100.0,AI 
Zoe LeBlanc,Assistant Professor,https://ischool.illinois.edu/people/zoe-leblanc,"Computational Social Science, Social Computing",https://ischool.illinois.edu/research/areas/computational-social-science,"Using computational methods to study and model social systems and user behaviors
",Zoe LeBlanc,100.0,AI 
Zoe LeBlanc,Assistant Professor,https://ischool.illinois.edu/people/zoe-leblanc,Data Analytics and Human Centered Data,https://ischool.illinois.edu/research/areas/data-analytics-and-human-centered-data,"Using computational methods to transform both structured and unstructured data into actionable knowledge; and to understand and enable humans to explore and gain insight from vast data sets
",Zoe LeBlanc,100.0,AI 
Zoe LeBlanc,Assistant Professor,https://ischool.illinois.edu/people/zoe-leblanc,Data Curation,https://ischool.illinois.edu/research/areas/data-curation,"Active and on-going management of data through its lifecycle of interest and usefulness to scholarship, science, and education
",Zoe LeBlanc,100.0,AI 
Zoe LeBlanc,Assistant Professor,https://ischool.illinois.edu/people/zoe-leblanc,Digital Humanities,https://ischool.illinois.edu/research/areas/digital-humanities,"Applying computing or using digital media in the humanities disciplines
",Zoe LeBlanc,100.0,AI 
Zoe LeBlanc,Assistant Professor,https://ischool.illinois.edu/people/zoe-leblanc,Digital Libraries,https://ischool.illinois.edu/research/areas/digital-libraries,"Studying how to most effectively store, structure, retrieve, interpret and preserve collections of digital objects to serve a particular community or communities
",Zoe LeBlanc,100.0,AI 
Zoe LeBlanc,Assistant Professor,https://ischool.illinois.edu/people/zoe-leblanc,Diversity and Social Justice,https://ischool.illinois.edu/research/areas/diversity-and-social-justice,"Addressing challenging, but necessary, topics such as racism, privilege, power, etc., and coupling them with critical theory in an effort to develop compassionate, proactive, and culturally competent information professionals
",Zoe LeBlanc,100.0,AI 
Jodi Schneider,Associate Professor,https://ischool.illinois.edu/people/jodi-schneider,Argumentation,https://ischool.illinois.edu/research/areas/argumentation,"Studying the construction of scientific arguments, including the use of information, evidence, and persuasion
",Jodi Schneider,100.0,MSIM & Bioinformatics  
Jodi Schneider,Associate Professor,https://ischool.illinois.edu/people/jodi-schneider,Argumentation,https://ischool.illinois.edu/research/areas/argumentation,"Studying the construction of scientific arguments, including the use of information, evidence, and persuasion
",Jodi Schneider,100.0,Faculty Senators
Jodi Schneider,Associate Professor,https://ischool.illinois.edu/people/jodi-schneider,Artificial Intelligence and Machine Learning,https://ischool.illinois.edu/research/areas/artificial-intelligence-and-machine-learning,"Researching the models, methods, uses, and impact of intelligent systems design for processing data and information
",Jodi Schneider,100.0,MSIM & Bioinformatics  
Jodi Schneider,Associate Professor,https://ischool.illinois.edu/people/jodi-schneider,Artificial Intelligence and Machine Learning,https://ischool.illinois.edu/research/areas/artificial-intelligence-and-machine-learning,"Researching the models, methods, uses, and impact of intelligent systems design for processing data and information
",Jodi Schneider,100.0,Faculty Senators
Jodi Schneider,Associate Professor,https://ischool.illinois.edu/people/jodi-schneider,"Computational Social Science, Social Computing",https://ischool.illinois.edu/research/areas/computational-social-science,"Using computational methods to study and model social systems and user behaviors
",Jodi Schneider,100.0,MSIM & Bioinformatics  
Jodi Schneider,Associate Professor,https://ischool.illinois.edu/people/jodi-schneider,"Computational Social Science, Social Computing",https://ischool.illinois.edu/research/areas/computational-social-science,"Using computational methods to study and model social systems and user behaviors
",Jodi Schneider,100.0,Faculty Senators
Jodi Schneider,Associate Professor,https://ischool.illinois.edu/people/jodi-schneider,Data Analytics and Human Centered Data,https://ischool.illinois.edu/research/areas/data-analytics-and-human-centered-data,"Using computational methods to transform both structured and unstructured data into actionable knowledge; and to understand and enable humans to explore and gain insight from vast data sets
",Jodi Schneider,100.0,MSIM & Bioinformatics  
Jodi Schneider,Associate Professor,https://ischool.illinois.edu/people/jodi-schneider,Data Analytics and Human Centered Data,https://ischool.illinois.edu/research/areas/data-analytics-and-human-centered-data,"Using computational methods to transform both structured and unstructured data into actionable knowledge; and to understand and enable humans to explore and gain insight from vast data sets
",Jodi Schneider,100.0,Faculty Senators
Jodi Schneider,Associate Professor,https://ischool.illinois.edu/people/jodi-schneider,Data Curation,https://ischool.illinois.edu/research/areas/data-curation,"Active and on-going management of data through its lifecycle of interest and usefulness to scholarship, science, and education
",Jodi Schneider,100.0,MSIM & Bioinformatics  
Jodi Schneider,Associate Professor,https://ischool.illinois.edu/people/jodi-schneider,Data Curation,https://ischool.illinois.edu/research/areas/data-curation,"Active and on-going management of data through its lifecycle of interest and usefulness to scholarship, science, and education
",Jodi Schneider,100.0,Faculty Senators
Jodi Schneider,Associate Professor,https://ischool.illinois.edu/people/jodi-schneider,Design and Evaluation of Information Systems and Services,https://ischool.illinois.edu/research/areas/design-and-evaluation-information-systems-and-services,"Understanding the problems with existing information systems and services, and making them more effective and easier to use
",Jodi Schneider,100.0,MSIM & Bioinformatics  
Jodi Schneider,Associate Professor,https://ischool.illinois.edu/people/jodi-schneider,Design and Evaluation of Information Systems and Services,https://ischool.illinois.edu/research/areas/design-and-evaluation-information-systems-and-services,"Understanding the problems with existing information systems and services, and making them more effective and easier to use
",Jodi Schneider,100.0,Faculty Senators
Jodi Schneider,Associate Professor,https://ischool.illinois.edu/people/jodi-schneider,Digital Libraries,https://ischool.illinois.edu/research/areas/digital-libraries,"Studying how to most effectively store, structure, retrieve, interpret and preserve collections of digital objects to serve a particular community or communities
",Jodi Schneider,100.0,MSIM & Bioinformatics  
Jodi Schneider,Associate Professor,https://ischool.illinois.edu/people/jodi-schneider,Digital Libraries,https://ischool.illinois.edu/research/areas/digital-libraries,"Studying how to most effectively store, structure, retrieve, interpret and preserve collections of digital objects to serve a particular community or communities
",Jodi Schneider,100.0,Faculty Senators
Jodi Schneider,Associate Professor,https://ischool.illinois.edu/people/jodi-schneider,Foundations of Information,https://ischool.illinois.edu/research/areas/foundations-information,"Asking and answering the most basic and fundamental questions on the nature and uses of information resources
",Jodi Schneider,100.0,MSIM & Bioinformatics  
Jodi Schneider,Associate Professor,https://ischool.illinois.edu/people/jodi-schneider,Foundations of Information,https://ischool.illinois.edu/research/areas/foundations-information,"Asking and answering the most basic and fundamental questions on the nature and uses of information resources
",Jodi Schneider,100.0,Faculty Senators
Jodi Schneider,Associate Professor,https://ischool.illinois.edu/people/jodi-schneider,"Health, Medical, and Bio-Informatics",https://ischool.illinois.edu/research/areas/health-medical-and-bio-informatics,"Collecting and analyzing biological, medical, and health information
",Jodi Schneider,100.0,MSIM & Bioinformatics  
Jodi Schneider,Associate Professor,https://ischool.illinois.edu/people/jodi-schneider,"Health, Medical, and Bio-Informatics",https://ischool.illinois.edu/research/areas/health-medical-and-bio-informatics,"Collecting and analyzing biological, medical, and health information
",Jodi Schneider,100.0,Faculty Senators
Jodi Schneider,Associate Professor,https://ischool.illinois.edu/people/jodi-schneider,Informetrics and Scientometrics,https://ischool.illinois.edu/research/areas/informetrics-and-scientometrics,"Studying the quantitative aspects of information and the quantitative features and characteristics of science and scientific research
",Jodi Schneider,100.0,MSIM & Bioinformatics  
Jodi Schneider,Associate Professor,https://ischool.illinois.edu/people/jodi-schneider,Informetrics and Scientometrics,https://ischool.illinois.edu/research/areas/informetrics-and-scientometrics,"Studying the quantitative aspects of information and the quantitative features and characteristics of science and scientific research
",Jodi Schneider,100.0,Faculty Senators
Jodi Schneider,Associate Professor,https://ischool.illinois.edu/people/jodi-schneider,Organization of Knowledge and Information,https://ischool.illinois.edu/research/areas/organization-knowledge-and-information,"Bringing structure to the record of human culture and our accounts of the natural and social world
",Jodi Schneider,100.0,MSIM & Bioinformatics  
Jodi Schneider,Associate Professor,https://ischool.illinois.edu/people/jodi-schneider,Organization of Knowledge and Information,https://ischool.illinois.edu/research/areas/organization-knowledge-and-information,"Bringing structure to the record of human culture and our accounts of the natural and social world
",Jodi Schneider,100.0,Faculty Senators
Jodi Schneider,Associate Professor,https://ischool.illinois.edu/people/jodi-schneider,Semantic Computing and Technologies,https://ischool.illinois.edu/research/areas/semantic-computing-and-technologies,"Studying the structure, design, and manipulation of computer content and technologies (e.g., AI, natural language, software engineering) to better satisfy the needs and intentions of users and to create a more meaningful user experience
",Jodi Schneider,100.0,MSIM & Bioinformatics  
Jodi Schneider,Associate Professor,https://ischool.illinois.edu/people/jodi-schneider,Semantic Computing and Technologies,https://ischool.illinois.edu/research/areas/semantic-computing-and-technologies,"Studying the structure, design, and manipulation of computer content and technologies (e.g., AI, natural language, software engineering) to better satisfy the needs and intentions of users and to create a more meaningful user experience
",Jodi Schneider,100.0,Faculty Senators
Catherine Blake,Professor and Associate Dean for Academic Affairs,https://ischool.illinois.edu/people/catherine-blake,Artificial Intelligence and Machine Learning,https://ischool.illinois.edu/research/areas/artificial-intelligence-and-machine-learning,"Researching the models, methods, uses, and impact of intelligent systems design for processing data and information
",,,
Catherine Blake,Professor and Associate Dean for Academic Affairs,https://ischool.illinois.edu/people/catherine-blake,Data Analytics and Human Centered Data,https://ischool.illinois.edu/research/areas/data-analytics-and-human-centered-data,"Using computational methods to transform both structured and unstructured data into actionable knowledge; and to understand and enable humans to explore and gain insight from vast data sets
",,,
Catherine Blake,Professor and Associate Dean for Academic Affairs,https://ischool.illinois.edu/people/catherine-blake,"FATE (fairness, accountability, transparency, ethics)",https://ischool.illinois.edu/research/areas/FATE,"Researching the complex social implications of AI, machine learning, data science, large-scale experimentation, and increasing automation; and developing computational techniques that draw on the deeper context surrounding these issues from sociology, history, and science and technology studies
",,,
Catherine Blake,Professor and Associate Dean for Academic Affairs,https://ischool.illinois.edu/people/catherine-blake,"Health, Medical, and Bio-Informatics",https://ischool.illinois.edu/research/areas/health-medical-and-bio-informatics,"Collecting and analyzing biological, medical, and health information
",,,
Catherine Blake,Professor and Associate Dean for Academic Affairs,https://ischool.illinois.edu/people/catherine-blake,Information Literacy,https://ischool.illinois.edu/research/areas/information-literacy,"Information literacy is an important skillset that enables individuals to locate, contextualize, evaluate, effectively use, and appropriately communicate information in a variety of different formats
",,,
Dong Wang,Associate Professor,https://ischool.illinois.edu/people/dong-wang,Artificial Intelligence and Machine Learning,https://ischool.illinois.edu/research/areas/artificial-intelligence-and-machine-learning,"Researching the models, methods, uses, and impact of intelligent systems design for processing data and information
",Dong Wang,100.0,PhD 
Dong Wang,Associate Professor,https://ischool.illinois.edu/people/dong-wang,Community Informatics,https://ischool.illinois.edu/research/areas/community-informatics,"Understanding how local communities and people in their everyday lives use and might use information technology, in libraries and elsewhere
",Dong Wang,100.0,PhD 
Dong Wang,Associate Professor,https://ischool.illinois.edu/people/dong-wang,"Computational Social Science, Social Computing",https://ischool.illinois.edu/research/areas/computational-social-science,"Using computational methods to study and model social systems and user behaviors
",Dong Wang,100.0,PhD 
Dong Wang,Associate Professor,https://ischool.illinois.edu/people/dong-wang,Computing for Social Good,https://ischool.illinois.edu/research/areas/computing-social-good,"Understanding computing's potential for good (and harm), including the role of computing and technology in responding to social, ecological, political, and other challenges
",Dong Wang,100.0,PhD 
Dong Wang,Associate Professor,https://ischool.illinois.edu/people/dong-wang,Data Analytics and Human Centered Data,https://ischool.illinois.edu/research/areas/data-analytics-and-human-centered-data,"Using computational methods to transform both structured and unstructured data into actionable knowledge; and to understand and enable humans to explore and gain insight from vast data sets
",Dong Wang,100.0,PhD 
Dong Wang,Associate Professor,https://ischool.illinois.edu/people/dong-wang,Ethics and Values for Information,https://ischool.illinois.edu/research/areas/ethics-and-values-information,"Assessing principles and standards that govern access to information
",Dong Wang,100.0,PhD 
Dong Wang,Associate Professor,https://ischool.illinois.edu/people/dong-wang,"FATE (fairness, accountability, transparency, ethics)",https://ischool.illinois.edu/research/areas/FATE,"Researching the complex social implications of AI, machine learning, data science, large-scale experimentation, and increasing automation; and developing computational techniques that draw on the deeper context surrounding these issues from sociology, history, and science and technology studies
",Dong Wang,100.0,PhD 
Dong Wang,Associate Professor,https://ischool.illinois.edu/people/dong-wang,"Health, Medical, and Bio-Informatics",https://ischool.illinois.edu/research/areas/health-medical-and-bio-informatics,"Collecting and analyzing biological, medical, and health information
",Dong Wang,100.0,PhD 
Eunice E. Santos,Professor and Dean,https://ischool.illinois.edu/people/eunice-e-santos,Artificial Intelligence and Machine Learning,https://ischool.illinois.edu/research/areas/artificial-intelligence-and-machine-learning,"Researching the models, methods, uses, and impact of intelligent systems design for processing data and information
",Eunice Santos ,100.0,Executive Committee
Eunice E. Santos,Professor and Dean,https://ischool.illinois.edu/people/eunice-e-santos,"Computational Social Science, Social Computing",https://ischool.illinois.edu/research/areas/computational-social-science,"Using computational methods to study and model social systems and user behaviors
",Eunice Santos ,100.0,Executive Committee
Eunice E. Santos,Professor and Dean,https://ischool.illinois.edu/people/eunice-e-santos,Data Analytics and Human Centered Data,https://ischool.illinois.edu/research/areas/data-analytics-and-human-centered-data,"Using computational methods to transform both structured and unstructured data into actionable knowledge; and to understand and enable humans to explore and gain insight from vast data sets
",Eunice Santos ,100.0,Executive Committee
Eunice E. Santos,Professor and Dean,https://ischool.illinois.edu/people/eunice-e-santos,"Health, Medical, and Bio-Informatics",https://ischool.illinois.edu/research/areas/health-medical-and-bio-informatics,"Collecting and analyzing biological, medical, and health information
",Eunice Santos ,100.0,Executive Committee
Halil Kilicoglu,Associate Professor,https://ischool.illinois.edu/people/halil-kilicoglu,Artificial Intelligence and Machine Learning,https://ischool.illinois.edu/research/areas/artificial-intelligence-and-machine-learning,"Researching the models, methods, uses, and impact of intelligent systems design for processing data and information
",Halil Kilicoglu ,100.0,AI 
Halil Kilicoglu,Associate Professor,https://ischool.illinois.edu/people/halil-kilicoglu,Artificial Intelligence and Machine Learning,https://ischool.illinois.edu/research/areas/artificial-intelligence-and-machine-learning,"Researching the models, methods, uses, and impact of intelligent systems design for processing data and information
",Halil Kilicoglu,100.0,Faculty Grievance 
Halil Kilicoglu,Associate Professor,https://ischool.illinois.edu/people/halil-kilicoglu,"Health, Medical, and Bio-Informatics",https://ischool.illinois.edu/research/areas/health-medical-and-bio-informatics,"Collecting and analyzing biological, medical, and health information
",Halil Kilicoglu ,100.0,AI 
Halil Kilicoglu,Associate Professor,https://ischool.illinois.edu/people/halil-kilicoglu,"Health, Medical, and Bio-Informatics",https://ischool.illinois.edu/research/areas/health-medical-and-bio-informatics,"Collecting and analyzing biological, medical, and health information
",Halil Kilicoglu,100.0,Faculty Grievance 
Halil Kilicoglu,Associate Professor,https://ischool.illinois.edu/people/halil-kilicoglu,Semantic Computing and Technologies,https://ischool.illinois.edu/research/areas/semantic-computing-and-technologies,"Studying the structure, design, and manipulation of computer content and technologies (e.g., AI, natural language, software engineering) to better satisfy the needs and intentions of users and to create a more meaningful user experience
",Halil Kilicoglu ,100.0,AI 
